['96.72881317138672, -209.87376403808594, 0.20368465781211853,-0.3515154719352722, -0.9361792802810669, -0.0022529030684381723', '87.59770202636719, -224.10975646972656, 0.20354187488555908,-0.674799919128418, -0.737996518611908, -0.002490537241101265', 61]
['21.852706909179688, -128.11431884765625, 0.2039157599210739,0.6583347320556641, -0.7525963187217712, 0.01393556036055088', '24.947107315063477, -129.83753967285156, 0.20119594037532806,0.8880655765533447, -0.459698885679245, 0.004055531229823828', 81]
['94.39763641357422, -173.79754638671875, 0.20341609418392181,0.4894205331802368, -0.8720445036888123, -0.0024271218571811914', '97.7156753540039, -181.75552368164062, 0.20370003581047058,0.3108519911766052, -0.950455367565155, -0.0024001903366297483', 32]
['95.55626678466797, -212.54161071777344, 0.20382127165794373,-0.41538697481155396, -0.9096419811248779, -0.002259167144075036', '87.59770202636719, -224.10975646972656, 0.20354187488555908,-0.674799919128418, -0.737996518611908, -0.002490537241101265', 29]
['89.44429016113281, -222.04052734375, 0.2036050409078598,-0.6261063814163208, -0.7797344326972961, -0.0021991105750203133', '83.5317153930664, -227.86549377441406, 0.20359475910663605,-0.7631495594978333, -0.646218478679657, -0.00208955816924572', 27]
['96.73651123046875, -178.90492248535156, 0.20365828275680542,0.37594300508499146, -0.9266399145126343, -0.0022969343699514866', '99.39903259277344, -190.15696716308594, 0.20368602871894836,0.11942210048437119, -0.9928408861160278, -0.0022826693020761013', 69]
['95.55626678466797, -212.54161071777344, 0.20382127165794373,-0.41538697481155396, -0.9096419811248779, -0.002259167144075036', '92.78141021728516, -217.5034637451172, 0.20340079069137573,-0.5255738496780396, -0.8507453203201294, -0.0021716346964240074', 92]
['99.39903259277344, -190.15696716308594, 0.20368602871894836,0.11942210048437119, -0.9928408861160278, -0.0022826693020761013', '97.71112060546875, -207.14572143554688, 0.20428083837032318,-0.2832011580467224, -0.9590575695037842, -0.0023759310133755207', 30]
['20.805479049682617, -127.19025421142578, 0.2047717422246933,0.45779934525489807, -0.8889455795288086, 0.01397867314517498', '29.919757843017578, -131.39698791503906, 0.20581698417663574,0.9646316170692444, -0.2634350061416626, 0.00937243364751339', 100]
['79.0202865600586, -231.04669189453125, 0.2042185217142105,-0.8445665240287781, -0.5354434847831726, -0.0027757587376981974', '71.28075408935547, -234.62255859375, 0.20339402556419373,-0.9378342032432556, -0.3470792770385742, -0.0017410365398973227', 85]
['95.55626678466797, -212.54161071777344, 0.20382127165794373,-0.41538697481155396, -0.9096419811248779, -0.002259167144075036', '83.5317153930664, -227.86549377441406, 0.20359475910663605,-0.7631495594978333, -0.646218478679657, -0.00208955816924572', 68]
['95.54502868652344, -176.09095764160156, 0.203539177775383,0.4390924870967865, -0.8984389901161194, -0.002288275398313999', '99.02345275878906, -187.33531188964844, 0.2037876695394516,0.1835295408964157, -0.9830119013786316, -0.0021423387806862593', 67]
['95.54502868652344, -176.09095764160156, 0.203539177775383,0.4390924870967865, -0.8984389901161194, -0.002288275398313999', '99.39903259277344, -190.15696716308594, 0.20368602871894836,0.11942210048437119, -0.9928408861160278, -0.0022826693020761013', 97]
